episode,avg_reward
0,1
1,51
2,0
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,51
12,0
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,52
46,2
47,52
48,51
49,0
50,51
51,0
52,51
53,0
54,51
55,0
56,52
57,52
58,51
59,0
60,52
61,52
62,2
63,51
64,0
65,52
66,51
67,0
68,2
69,51
70,0
71,52
72,51
73,0
74,51
75,0
76,52
77,51
78,0
79,2
80,52
81,2
82,51
83,0
84,51
85,0
86,2
87,2
88,52
89,51
90,0
91,51
92,0
93,51
94,0
95,51
96,0
97,51
98,0
99,51
100,0
101,2
102,1
103,51
104,0
105,51
106,0
107,1
108,52
109,1
110,51
111,0
112,51
113,0
114,51
115,0
116,51
117,0
118,51
119,0
120,51
121,0
122,51
123,0
124,51
125,0
126,51
127,0
128,51
129,0
130,51
131,0
132,51
133,0
134,51
135,0
136,51
137,0
138,1
139,1
140,51
141,0
142,51
143,0
144,51
145,0
146,1
147,1
148,51
149,0
150,51
151,0
152,51
153,0
154,1
155,51
156,0
157,1
158,1
159,51
160,0
161,1
162,1
163,51
164,0
165,1
166,1
167,1
168,51
169,0
170,1
171,1
172,51
173,0
174,1
175,1
176,1
177,1
178,51
179,0
180,51
181,0
182,51
183,0
184,1
185,1
186,51
187,0
188,51
189,0
190,51
191,0
192,51
193,0
194,51
195,0
196,51
197,0
198,51
199,0
200,51
201,0
202,51
203,0
204,51
205,0
206,1
207,51
208,0
209,51
210,0
211,1
212,51
213,0
214,1
215,1
216,1
217,51
218,0
219,1
220,51
221,0
222,51
223,0
224,51
225,0
226,51
227,0
228,51
229,0
230,1
231,51
232,0
233,1
234,51
235,0
236,51
237,0
238,2
239,2
240,2
241,2
242,51
243,0
244,2
245,51
246,0
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,52
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,51
333,0
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,51
342,0
343,51
344,0
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,51
353,0
354,52
355,2
356,51
357,0
358,51
359,0
360,51
361,0
362,51
363,0
364,51
365,0
366,51
367,0
368,51
369,0
370,51
371,0
372,51
373,0
374,2
375,2
376,51
377,0
378,51
379,0
380,51
381,0
382,52
383,51
384,0
385,51
386,0
387,51
388,0
389,51
390,0
391,1
392,1
393,51
394,0
395,51
396,0
397,51
398,0
399,1
400,51
401,0
402,51
403,0
404,51
405,0
406,51
407,0
408,51
409,0
410,51
411,0
412,51
413,0
414,0
415,51
416,0
417,51
418,0
419,51
420,0
421,51
422,0
423,51
424,0
425,51
426,0
427,51
428,0
429,51
430,0
431,51
432,0
433,51
434,0
435,51
436,0
437,51
438,0
439,51
440,0
441,51
442,0
443,51
444,0
445,51
446,0
447,51
448,0
449,0
450,51
451,0
452,51
453,0
454,1
455,51
456,0
457,51
458,0
459,1
460,51
461,0
462,52
463,52
464,1
465,1
466,52
467,1
468,51
469,0
470,52
471,1
472,52
473,51
474,0
475,1
476,1
477,1
478,2
479,2
480,2
481,2
482,51
483,0
484,2
485,2
486,1
487,2
488,2
489,1
490,2
491,52
492,51
493,0
494,51
495,0
496,51
497,0
498,2
499,1
